node_id,has_nonzero_timeseries,has_load_device,is_structural_bus,is_transformer_side_bus,degree,component,legacy_component,role,notes
p10rdm10545,0,0,1,0,3,0,0,structural_bus_candidate,官方 scope 内存在 Line/Transformer 连接但未挂载 Load；作为结构母线保留，不参与预测 loss
p10rdm10546,0,0,1,0,3,0,0,structural_bus_candidate,官方 scope 内存在 Line/Transformer 连接但未挂载 Load；作为结构母线保留，不参与预测 loss
p10rdm11446,0,0,1,0,2,0,1,structural_bus_candidate,官方 scope 内存在 Line/Transformer 连接但未挂载 Load；作为结构母线保留，不参与预测 loss
p10rdm11447,0,0,1,0,3,0,1,structural_bus_candidate,官方 scope 内存在 Line/Transformer 连接但未挂载 Load；作为结构母线保留，不参与预测 loss
p10rdm11450,0,0,1,0,2,0,2,structural_bus_candidate,官方 scope 内存在 Line/Transformer 连接但未挂载 Load；作为结构母线保留，不参与预测 loss
p10rdm12720,0,0,1,0,2,0,3,structural_bus_candidate,官方 scope 内存在 Line/Transformer 连接但未挂载 Load；作为结构母线保留，不参与预测 loss
p10rdm13126,0,0,1,0,2,0,4,structural_bus_candidate,官方 scope 内存在 Line/Transformer 连接但未挂载 Load；作为结构母线保留，不参与预测 loss
p10rdm13127,0,0,1,0,2,0,4,structural_bus_candidate,官方 scope 内存在 Line/Transformer 连接但未挂载 Load；作为结构母线保留，不参与预测 loss
p10rdm13485,0,0,1,0,2,0,5,structural_bus_candidate,官方 scope 内存在 Line/Transformer 连接但未挂载 Load；作为结构母线保留，不参与预测 loss
p10rdm13486,0,0,1,0,2,0,5,structural_bus_candidate,官方 scope 内存在 Line/Transformer 连接但未挂载 Load；作为结构母线保留，不参与预测 loss
p10rdm17474,0,0,1,0,2,0,6,structural_bus_candidate,官方 scope 内存在 Line/Transformer 连接但未挂载 Load；作为结构母线保留，不参与预测 loss
p10rdm17810,0,0,1,0,2,0,7,structural_bus_candidate,官方 scope 内存在 Line/Transformer 连接但未挂载 Load；作为结构母线保留，不参与预测 loss
p10rdm185,0,0,1,0,2,0,8,structural_bus_candidate,官方 scope 内存在 Line/Transformer 连接但未挂载 Load；作为结构母线保留，不参与预测 loss
p10rdm18505,0,0,1,0,2,0,9,structural_bus_candidate,官方 scope 内存在 Line/Transformer 连接但未挂载 Load；作为结构母线保留，不参与预测 loss
p10rdm18535,0,0,1,0,2,0,10,structural_bus_candidate,官方 scope 内存在 Line/Transformer 连接但未挂载 Load；作为结构母线保留，不参与预测 loss
p10rdm18536,0,0,1,0,2,0,10,structural_bus_candidate,官方 scope 内存在 Line/Transformer 连接但未挂载 Load；作为结构母线保留，不参与预测 loss
p10rdm186,0,0,1,0,2,0,8,structural_bus_candidate,官方 scope 内存在 Line/Transformer 连接但未挂载 Load；作为结构母线保留，不参与预测 loss
