node_id,has_nonzero_timeseries,has_load_device,is_structural_bus,degree,component,role,notes
p10rdm10545,0,0,1,3,0,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdm10546,0,0,1,3,0,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdm11446,0,0,1,2,1,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdm11447,0,0,1,3,1,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdm11450,0,0,1,2,2,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdm12720,0,0,1,2,3,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdm13126,0,0,1,2,4,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdm13127,0,0,1,2,4,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdm13485,0,0,1,2,5,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdm13486,0,0,1,2,5,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdm17474,0,0,1,2,6,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdm17810,0,0,1,2,7,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdm185,0,0,1,2,8,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdm18505,0,0,1,2,9,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdm18535,0,0,1,2,10,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdm18536,0,0,1,2,10,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdm186,0,0,1,2,8,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdm22138,0,0,1,3,11,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdm22139,0,0,1,3,11,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdm25129,0,0,1,2,12,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdm3180,0,0,1,2,13,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdm3181,0,0,1,2,13,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdm4424,0,0,1,2,14,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdm5559,0,0,1,3,15,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdm5560,0,0,1,2,15,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdm5561,0,0,1,2,15,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdm9099,0,0,1,2,16,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdt11862,0,0,1,2,17,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdt11862lv,0,0,1,1,18,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdt12225,0,0,1,1,17,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdt12225lv,0,0,1,2,11,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdt12911,0,0,1,2,17,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdt12911lv,0,0,1,1,19,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdt13069,0,0,1,1,17,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdt13069lv,0,0,1,1,20,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdt13742,0,0,1,3,17,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdt13742-p10rdt1487x,0,0,1,2,17,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdt13742-p10rdt2070x,0,0,1,2,17,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdt13742lv,0,0,1,1,21,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdt13902,0,0,1,2,17,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdt13902-p10rdt17567x,0,0,1,2,17,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdt13902-p10rdt6600x,0,0,1,2,17,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdt13902lv,0,0,1,1,22,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdt14373,0,0,1,1,17,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdt14373lv,0,0,1,2,12,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdt1487,0,0,1,2,17,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdt1487lv,0,0,1,2,13,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdt14969,0,0,1,1,17,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdt14969-p10rdt4426x,0,0,1,2,17,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdt14969lv,0,0,1,1,23,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdt15260,0,0,1,2,17,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdt15260lv,0,0,1,1,24,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdt15261,0,0,1,1,17,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdt15261lv,0,0,1,1,25,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
p10rdt16023,0,0,1,2,17,structural_bus_candidate,当前 NPZ 中有图连接但未在已获取文件中发现 Load 设备
