source_node,target_node,verified,device_type,device_name,source_file,evidence,notes
p10rdt11862,p10rdt11862lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt12225,p10rdt12225lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt12911,p10rdt12911lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt13069,p10rdt13069lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt13742,p10rdt13742lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt13902,p10rdt13902lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt14373,p10rdt14373lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt1487,p10rdt1487lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt14969,p10rdt14969lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt15260,p10rdt15260lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt15261,p10rdt15261lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt16023,p10rdt16023lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt16751,p10rdt16751lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt16752,p10rdt16752lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt1748,p10rdt1748lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt17566,p10rdt17566lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt17567,p10rdt17567lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt17939,p10rdt17939lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt18084,p10rdt18084lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt18422,p10rdt18422lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
p10rdt18562,p10rdt18562lv,false,,,,,未在已获取官方 OpenDSS 文件中找到证据；不能据名称认定
