relative_path,official_url,local_sha256,remote_sha256,local_bytes,remote_bytes,status
Buscoords.dss,https://oedi-data-lake.s3.amazonaws.com/SMART-DS/v0.9/2018/Full_Texas/P10R/scenarios/base_timeseries/opendss/Buscoords.dss,db5982e8223ea8add220c03b6858fc0f8f31cc5f5f68292716dadd6566d9824c,db5982e8223ea8add220c03b6858fc0f8f31cc5f5f68292716dadd6566d9824c,4542676,4542676,PASS
LoadShapes.dss,https://oedi-data-lake.s3.amazonaws.com/SMART-DS/v0.9/2018/Full_Texas/P10R/scenarios/base_timeseries/opendss/LoadShapes.dss,29696ebdc99d039efeb8151b18663afc8a6c20764a8c672a3363f93b239e13bb,29696ebdc99d039efeb8151b18663afc8a6c20764a8c672a3363f93b239e13bb,100719,100719,PASS
p10rhs0_1247/Buscoords.dss,https://oedi-data-lake.s3.amazonaws.com/SMART-DS/v0.9/2018/Full_Texas/P10R/scenarios/base_timeseries/opendss/p10rhs0_1247/Buscoords.dss,a3cacda9a05eb8122b2225b97ed1b6bef3edab646435c8f5832dccda6d546fe0,a3cacda9a05eb8122b2225b97ed1b6bef3edab646435c8f5832dccda6d546fe0,332516,332516,PASS
p10rhs0_1247/Lines.dss,https://oedi-data-lake.s3.amazonaws.com/SMART-DS/v0.9/2018/Full_Texas/P10R/scenarios/base_timeseries/opendss/p10rhs0_1247/Lines.dss,404a0fe8c77db7e0912a46fe8357130decfe0b6615eaf7039365fb5a6e0fffbe,404a0fe8c77db7e0912a46fe8357130decfe0b6615eaf7039365fb5a6e0fffbe,7774,7774,PASS
p10rhs0_1247/LoadShapes.dss,https://oedi-data-lake.s3.amazonaws.com/SMART-DS/v0.9/2018/Full_Texas/P10R/scenarios/base_timeseries/opendss/p10rhs0_1247/LoadShapes.dss,389d7db50597c922440bc66dd62310140dfaadacfc1c48996946622b0a1c8af5,389d7db50597c922440bc66dd62310140dfaadacfc1c48996946622b0a1c8af5,67170,67170,PASS
p10rhs0_1247/Master.dss,https://oedi-data-lake.s3.amazonaws.com/SMART-DS/v0.9/2018/Full_Texas/P10R/scenarios/base_timeseries/opendss/p10rhs0_1247/Master.dss,c86a597670446162fd2fdf1aff5a83b9486ceb1a76efce288c98b101f6e567f5,c86a597670446162fd2fdf1aff5a83b9486ceb1a76efce288c98b101f6e567f5,2081,2081,PASS
p10rhs0_1247/p10rhs0_1247--p10rdt7719/Buscoords.dss,https://oedi-data-lake.s3.amazonaws.com/SMART-DS/v0.9/2018/Full_Texas/P10R/scenarios/base_timeseries/opendss/p10rhs0_1247/p10rhs0_1247--p10rdt7719/Buscoords.dss,25a8666835874fef0616f84186177f4ea6854f8670dccdd2f70820a5aec33d33,25a8666835874fef0616f84186177f4ea6854f8670dccdd2f70820a5aec33d33,13968,13968,PASS
p10rhs0_1247/p10rhs0_1247--p10rdt7719/Intermediates.txt,https://oedi-data-lake.s3.amazonaws.com/SMART-DS/v0.9/2018/Full_Texas/P10R/scenarios/base_timeseries/opendss/p10rhs0_1247/p10rhs0_1247--p10rdt7719/Intermediates.txt,13082989670a34697a87f78c0f059a2b47737162d61edd27981d664249b692a2,13082989670a34697a87f78c0f059a2b47737162d61edd27981d664249b692a2,31868,31868,PASS
p10rhs0_1247/p10rhs0_1247--p10rdt7719/LineCodes.dss,https://oedi-data-lake.s3.amazonaws.com/SMART-DS/v0.9/2018/Full_Texas/P10R/scenarios/base_timeseries/opendss/p10rhs0_1247/p10rhs0_1247--p10rdt7719/LineCodes.dss,112fddb792ba4178fe9d50cc6b6c891097fbc944f20c848ab28f95ecd3313c70,112fddb792ba4178fe9d50cc6b6c891097fbc944f20c848ab28f95ecd3313c70,3987,3987,PASS
p10rhs0_1247/p10rhs0_1247--p10rdt7719/Lines.dss,https://oedi-data-lake.s3.amazonaws.com/SMART-DS/v0.9/2018/Full_Texas/P10R/scenarios/base_timeseries/opendss/p10rhs0_1247/p10rhs0_1247--p10rdt7719/Lines.dss,36c7de1449f6fd67d53174523654d5f996c929a3ee4c382feb6d3ec8467ae750,36c7de1449f6fd67d53174523654d5f996c929a3ee4c382feb6d3ec8467ae750,38770,38770,PASS
p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss,https://oedi-data-lake.s3.amazonaws.com/SMART-DS/v0.9/2018/Full_Texas/P10R/scenarios/base_timeseries/opendss/p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss,eba16b87876df8a92e58209c1cb0aba8f484bc137b5fd5952a530fcc3e094101,eba16b87876df8a92e58209c1cb0aba8f484bc137b5fd5952a530fcc3e094101,34092,34092,PASS
p10rhs0_1247/p10rhs0_1247--p10rdt7719/LoadShapes.dss,https://oedi-data-lake.s3.amazonaws.com/SMART-DS/v0.9/2018/Full_Texas/P10R/scenarios/base_timeseries/opendss/p10rhs0_1247/p10rhs0_1247--p10rdt7719/LoadShapes.dss,4a1a35bd9380a88d3a7398f62bbd9af7be61cfd37e9a9997d7acc160a649327f,4a1a35bd9380a88d3a7398f62bbd9af7be61cfd37e9a9997d7acc160a649327f,13619,13619,PASS
p10rhs0_1247/p10rhs0_1247--p10rdt7719/Master.dss,https://oedi-data-lake.s3.amazonaws.com/SMART-DS/v0.9/2018/Full_Texas/P10R/scenarios/base_timeseries/opendss/p10rhs0_1247/p10rhs0_1247--p10rdt7719/Master.dss,77429899f2c5f5ed18710c74fcb0545b1d0ffd75cb39aae65255afb2a90a2ef3,77429899f2c5f5ed18710c74fcb0545b1d0ffd75cb39aae65255afb2a90a2ef3,732,732,PASS
p10rhs0_1247/p10rhs0_1247--p10rdt7719/Transformers.dss,https://oedi-data-lake.s3.amazonaws.com/SMART-DS/v0.9/2018/Full_Texas/P10R/scenarios/base_timeseries/opendss/p10rhs0_1247/p10rhs0_1247--p10rdt7719/Transformers.dss,5b84ca0c6201ac4b45eb4e2fb5e00991ac1ea518daf648bf24ed870021361107,5b84ca0c6201ac4b45eb4e2fb5e00991ac1ea518daf648bf24ed870021361107,21214,21214,PASS
p10rhs0_1247/Transformers.dss,https://oedi-data-lake.s3.amazonaws.com/SMART-DS/v0.9/2018/Full_Texas/P10R/scenarios/base_timeseries/opendss/p10rhs0_1247/Transformers.dss,2ff23e5b22bc136eabee7e18555547ef66e8989d90c48ec86c51f9e728dec942,2ff23e5b22bc136eabee7e18555547ef66e8989d90c48ec86c51f9e728dec942,526,526,PASS
