bridge_index,source_index,target_index,scheme
0,181,233,projected_active_mst
1,181,255,projected_active_mst
2,182,187,projected_active_mst
3,184,237,projected_active_mst
4,184,249,projected_active_mst
5,185,259,projected_active_mst
6,186,266,projected_active_mst
7,188,220,projected_active_mst
8,189,248,projected_active_mst
9,191,246,projected_active_mst
10,191,259,projected_active_mst
11,192,202,projected_active_mst
12,195,212,projected_active_mst
13,195,272,projected_active_mst
14,196,231,projected_active_mst
15,196,243,projected_active_mst
16,198,233,projected_active_mst
17,200,263,projected_active_mst
18,201,219,projected_active_mst
19,202,251,projected_active_mst
20,203,262,projected_active_mst
21,203,264,projected_active_mst
22,204,227,projected_active_mst
23,204,261,projected_active_mst
24,208,257,projected_active_mst
25,208,271,projected_active_mst
26,210,218,projected_active_mst
27,210,241,projected_active_mst
28,211,221,projected_active_mst
29,211,250,projected_active_mst
30,212,236,projected_active_mst
31,213,272,projected_active_mst
32,214,253,projected_active_mst
33,216,257,projected_active_mst
34,218,236,projected_active_mst
35,220,232,projected_active_mst
36,221,256,projected_active_mst
37,222,228,projected_active_mst
38,222,268,projected_active_mst
39,223,227,projected_active_mst
40,224,260,projected_active_mst
41,225,247,projected_active_mst
42,225,265,projected_active_mst
43,226,239,projected_active_mst
44,228,252,projected_active_mst
45,233,240,projected_active_mst
46,234,252,projected_active_mst
47,234,253,projected_active_mst
48,235,242,projected_active_mst
49,244,257,projected_active_mst
50,244,267,projected_active_mst
51,246,258,projected_active_mst
52,258,263,projected_active_mst
53,258,270,projected_active_mst
54,261,269,projected_active_mst
