bridge_index,source_index,target_index,scheme
0,27,28,legacy_all_node_mst
1,29,30,legacy_all_node_mst
2,31,32,legacy_all_node_mst
3,33,34,legacy_all_node_mst
4,35,38,legacy_all_node_mst
5,39,42,legacy_all_node_mst
6,43,44,legacy_all_node_mst
7,45,46,legacy_all_node_mst
8,47,49,legacy_all_node_mst
9,50,51,legacy_all_node_mst
10,52,213,legacy_all_node_mst
11,54,55,legacy_all_node_mst
12,56,58,legacy_all_node_mst
13,59,63,legacy_all_node_mst
14,64,74,legacy_all_node_mst
15,75,78,legacy_all_node_mst
16,79,83,legacy_all_node_mst
17,84,85,legacy_all_node_mst
18,86,87,legacy_all_node_mst
19,88,89,legacy_all_node_mst
20,90,95,legacy_all_node_mst
21,96,97,legacy_all_node_mst
22,98,99,legacy_all_node_mst
23,100,101,legacy_all_node_mst
24,102,103,legacy_all_node_mst
25,104,105,legacy_all_node_mst
26,106,107,legacy_all_node_mst
27,108,109,legacy_all_node_mst
28,110,113,legacy_all_node_mst
29,114,117,legacy_all_node_mst
30,118,121,legacy_all_node_mst
31,122,123,legacy_all_node_mst
32,124,125,legacy_all_node_mst
33,126,127,legacy_all_node_mst
34,128,129,legacy_all_node_mst
35,130,131,legacy_all_node_mst
36,132,134,legacy_all_node_mst
37,135,136,legacy_all_node_mst
38,137,138,legacy_all_node_mst
39,139,140,legacy_all_node_mst
40,141,142,legacy_all_node_mst
41,143,144,legacy_all_node_mst
42,145,146,legacy_all_node_mst
43,147,148,legacy_all_node_mst
44,149,150,legacy_all_node_mst
45,151,154,legacy_all_node_mst
46,155,156,legacy_all_node_mst
47,159,162,legacy_all_node_mst
48,163,164,legacy_all_node_mst
49,165,166,legacy_all_node_mst
50,167,168,legacy_all_node_mst
51,169,170,legacy_all_node_mst
52,173,174,legacy_all_node_mst
53,175,176,legacy_all_node_mst
54,177,178,legacy_all_node_mst
55,179,180,legacy_all_node_mst
