experiment,status,role,wape,mae,rmse,smape,mape,feeder_wape,reference_experiment,delta_wape_pp,paper_use,notes
spatial_physical_only,KEEP,ablation,30.474928,0.357362,0.739897,30.014791,34.577473,,,,Physical-only,Physical topology branch only; target relation graph is not a physical Line graph. Source=spatial_physical_only_seed2026_centralized_result.json; seed=2026; test_evaluated=false.
spatial_functional_only,KEEP,ablation,29.992157,0.351701,0.732202,29.633430,33.734718,,spatial_physical_only,-0.482771,Functional-only,Functional relation branch only; no physical branch. Source=spatial_functional_only_seed2026_centralized_result.json; seed=2026; test_evaluated=false.
centralized,KEEP,main dual base,29.373686,0.344448,0.714534,28.947639,33.148235,8.890340,spatial_functional_only,-0.618471,Dual physical+functional,Physical + static functional PA-STFed dual base. Source=centralized_seed2026_centralized_result.json; seed=2026; test_evaluated=false.
pa_residual_anchor_dev,KEEP,incremental,28.996521,0.340025,0.720468,28.597759,31.308863,10.662318,centralized,-0.377165,Residual Anchor,Adds persistence residual anchor: last observed load plus learned correction. Source=pa_residual_anchor_dev_seed2026_centralized_result.json; seed=2026; test_evaluated=false.
pa_residual_scale_loss_dev,KEEP,incremental,28.945082,0.339422,0.712346,28.842655,32.687969,9.034604,pa_residual_anchor_dev,-0.051439,Scale-aware loss,Uses training-IQR scale-aware node loss. Source=pa_residual_scale_loss_dev_seed2026_centralized_result.json; seed=2026; test_evaluated=false.
pa_horizon_decoder_scale_dev,KEEP,incremental,28.769896,0.337368,0.718085,28.528690,30.896641,10.118258,pa_residual_scale_loss_dev,-0.175186,Horizon Decoder,Adds one-layer horizon cross-attention decoder with zero-initialized correction head. Source=pa_horizon_decoder_scale_dev_seed2026_centralized_result.json; seed=2026; test_evaluated=false.
pa_horizon_decoder_wl1_dev,CURRENT BEST,candidate,27.998379,0.328321,0.729947,26.768181,27.881538,12.311967,pa_horizon_decoder_scale_dev,-0.771517,WAPE-aligned WL1,Uses WAPE-aligned scale-aware L1 objective. Source=pa_horizon_decoder_wl1_dev_seed2026_centralized_result.json; seed=2026; test_evaluated=false.
gwnet,REFERENCE,external baseline,29.005434,0.340130,0.713006,28.474411,32.041592,8.767666,,,baseline comparison,GWN validation reference. Source=gwnet_seed2026_centralized_result.json; seed=2026; test_evaluated=false.
pa_residual_multilevel_loss_dev,REJECT,loss exploration,29.182411,0.342205,0.710936,29.167294,33.471348,8.479506,pa_residual_scale_loss_dev,0.237329,Multilevel loss lambda=0.1,Tests lambda=0.1 feeder-level term. Source=pa_residual_multilevel_loss_dev_seed2026_centralized_result.json; seed=2026; test_evaluated=false.
pa_residual_multilevel_l002_dev,REJECT,loss exploration,29.102186,0.341265,0.711638,29.094162,33.401917,8.787464,pa_residual_scale_loss_dev,0.157104,Multilevel loss lambda=0.02,Tests lambda=0.02 feeder-level term. Source=pa_residual_multilevel_l002_dev_seed2026_centralized_result.json; seed=2026; test_evaluated=false.
pa_residual_multilevel_l005_dev,REJECT,loss exploration,29.041759,0.340556,0.711752,29.130846,33.225773,8.822285,pa_residual_scale_loss_dev,0.096678,Multilevel loss lambda=0.05,Tests lambda=0.05 feeder-level term. Source=pa_residual_multilevel_l005_dev_seed2026_centralized_result.json; seed=2026; test_evaluated=false.
