k,client_id,target_count,induced_edge_count,density,average_degree,max_degree,components,isolated_nodes
2,0,15,19,0.18095238095238095,2.533333333333333,7,3,1
2,1,12,12,0.18181818181818182,2.0,3,3,0
2,2,9,11,0.3055555555555556,2.4444444444444446,3,1,0
2,3,10,12,0.26666666666666666,2.4,5,1,0
2,4,11,13,0.23636363636363636,2.3636363636363638,4,2,0
2,5,12,15,0.22727272727272727,2.5,4,3,0
2,6,11,13,0.23636363636363636,2.3636363636363638,4,2,0
2,7,12,15,0.22727272727272727,2.5,4,2,0
4,0,15,37,0.3523809523809524,4.933333333333334,7,1,0
4,1,12,26,0.3939393939393939,4.333333333333333,6,1,0
4,2,9,20,0.5555555555555556,4.444444444444445,6,1,0
4,3,10,20,0.4444444444444444,4.0,7,1,0
4,4,11,21,0.38181818181818183,3.8181818181818183,7,2,0
4,5,12,29,0.4393939393939394,4.833333333333333,8,1,0
4,6,11,25,0.45454545454545453,4.545454545454546,8,1,0
4,7,12,28,0.42424242424242425,4.666666666666667,6,1,0
6,0,15,50,0.47619047619047616,6.666666666666667,8,1,0
6,1,12,34,0.5151515151515151,5.666666666666667,9,1,0
6,2,9,27,0.75,6.0,8,1,0
6,3,10,26,0.5777777777777777,5.2,7,1,0
6,4,11,34,0.6181818181818182,6.181818181818182,10,1,0
6,5,12,42,0.6363636363636364,7.0,11,1,0
6,6,11,31,0.5636363636363636,5.636363636363637,8,1,0
6,7,12,36,0.5454545454545454,6.0,9,1,0
8,0,15,57,0.5428571428571428,7.6,14,1,0
8,1,12,47,0.7121212121212122,7.833333333333333,11,1,0
8,2,9,32,0.8888888888888888,7.111111111111111,8,1,0
8,3,10,33,0.7333333333333333,6.6,9,1,0
8,4,11,42,0.7636363636363637,7.636363636363637,10,1,0
8,5,12,48,0.7272727272727273,8.0,11,1,0
8,6,11,38,0.6909090909090909,6.909090909090909,9,1,0
8,7,12,39,0.5909090909090909,6.5,10,1,0
