group,state_name,FedAvg/FedProx,Personalized
shared_encoder_or_head,input_projection.weight,aggregate,aggregate
shared_encoder_or_head,input_projection.bias,aggregate,aggregate
shared_encoder_or_head,physical.source_attention,aggregate,aggregate
shared_encoder_or_head,physical.target_attention,aggregate,aggregate
shared_encoder_or_head,physical.edge_attention,aggregate,aggregate
shared_encoder_or_head,physical.node_projection.weight,aggregate,aggregate
shared_encoder_or_head,physical.edge_projection.0.weight,aggregate,aggregate
shared_encoder_or_head,physical.edge_projection.0.bias,aggregate,aggregate
shared_encoder_or_head,functional.value.weight,aggregate,aggregate
shared_encoder_or_head,functional.value.bias,aggregate,aggregate
shared_encoder_or_head,spatial_gate.weight,aggregate,aggregate
shared_encoder_or_head,spatial_gate.bias,aggregate,aggregate
shared_encoder_or_head,temporal.position,aggregate,aggregate
shared_encoder_or_head,temporal.encoder.layers.0.self_attn.in_proj_weight,aggregate,aggregate
shared_encoder_or_head,temporal.encoder.layers.0.self_attn.in_proj_bias,aggregate,aggregate
shared_encoder_or_head,temporal.encoder.layers.0.self_attn.out_proj.weight,aggregate,aggregate
shared_encoder_or_head,temporal.encoder.layers.0.self_attn.out_proj.bias,aggregate,aggregate
shared_encoder_or_head,temporal.encoder.layers.0.linear1.weight,aggregate,aggregate
shared_encoder_or_head,temporal.encoder.layers.0.linear1.bias,aggregate,aggregate
shared_encoder_or_head,temporal.encoder.layers.0.linear2.weight,aggregate,aggregate
shared_encoder_or_head,temporal.encoder.layers.0.linear2.bias,aggregate,aggregate
shared_encoder_or_head,temporal.encoder.layers.0.norm1.weight,aggregate,aggregate
shared_encoder_or_head,temporal.encoder.layers.0.norm1.bias,aggregate,aggregate
shared_encoder_or_head,temporal.encoder.layers.0.norm2.weight,aggregate,aggregate
shared_encoder_or_head,temporal.encoder.layers.0.norm2.bias,aggregate,aggregate
shared_encoder_or_head,temporal.encoder.layers.1.self_attn.in_proj_weight,aggregate,aggregate
shared_encoder_or_head,temporal.encoder.layers.1.self_attn.in_proj_bias,aggregate,aggregate
shared_encoder_or_head,temporal.encoder.layers.1.self_attn.out_proj.weight,aggregate,aggregate
shared_encoder_or_head,temporal.encoder.layers.1.self_attn.out_proj.bias,aggregate,aggregate
shared_encoder_or_head,temporal.encoder.layers.1.linear1.weight,aggregate,aggregate
shared_encoder_or_head,temporal.encoder.layers.1.linear1.bias,aggregate,aggregate
shared_encoder_or_head,temporal.encoder.layers.1.linear2.weight,aggregate,aggregate
shared_encoder_or_head,temporal.encoder.layers.1.linear2.bias,aggregate,aggregate
shared_encoder_or_head,temporal.encoder.layers.1.norm1.weight,aggregate,aggregate
shared_encoder_or_head,temporal.encoder.layers.1.norm1.bias,aggregate,aggregate
shared_encoder_or_head,temporal.encoder.layers.1.norm2.weight,aggregate,aggregate
shared_encoder_or_head,temporal.encoder.layers.1.norm2.bias,aggregate,aggregate
shared_encoder_or_head,temporal_gate.weight,aggregate,aggregate
shared_encoder_or_head,temporal_gate.bias,aggregate,aggregate
shared_encoder_or_head,head.0.weight,aggregate,local
shared_encoder_or_head,head.0.bias,aggregate,local
shared_encoder_or_head,head.1.weight,aggregate,local
shared_encoder_or_head,head.1.bias,aggregate,local
shared_encoder_or_head,head.4.weight,aggregate,local
shared_encoder_or_head,head.4.bias,aggregate,local
functional_node_embedding,functional.embedding_1,local,local
functional_node_embedding,functional.embedding_2,local,local
