node_id,load_element_count,load_elements
p10rlv92,2,"[{""device_name"":""load_p10rlv92_1"",""profile"":""res_kw_38930-South-Central_pu.csv"",""kW"":4.686917228364979,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":1},{""device_name"":""load_p10rlv92_2"",""profile"":""res_kw_38930-South-Central_pu.csv"",""kW"":4.686917228364979,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":3}]"
p10rlv679,2,"[{""device_name"":""load_p10rlv679_1"",""profile"":""res_kw_8514-South-Central_pu.csv"",""kW"":3.911719246953864,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":5},{""device_name"":""load_p10rlv679_2"",""profile"":""res_kw_8514-South-Central_pu.csv"",""kW"":3.911719246953864,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":7}]"
p10rlv696,2,"[{""device_name"":""load_p10rlv696_1"",""profile"":""res_kw_13043-South-Central_pu.csv"",""kW"":4.588412338592216,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":9},{""device_name"":""load_p10rlv696_2"",""profile"":""res_kw_13043-South-Central_pu.csv"",""kW"":4.588412338592216,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":11}]"
p10rlv943,2,"[{""device_name"":""load_p10rlv943_1"",""profile"":""res_kw_14610-South-Central_pu.csv"",""kW"":4.828380067498269,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":13},{""device_name"":""load_p10rlv943_2"",""profile"":""res_kw_14610-South-Central_pu.csv"",""kW"":4.828380067498269,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":15}]"
p10rlv1542,2,"[{""device_name"":""load_p10rlv1542_1"",""profile"":""res_kw_4557-South-Central_pu.csv"",""kW"":6.27865508831478,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":17},{""device_name"":""load_p10rlv1542_2"",""profile"":""res_kw_4557-South-Central_pu.csv"",""kW"":6.27865508831478,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":19}]"
p10rlv1819,2,"[{""device_name"":""load_p10rlv1819_1"",""profile"":""res_kw_41217-South-Central_pu.csv"",""kW"":1.6835101027753536,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":21},{""device_name"":""load_p10rlv1819_2"",""profile"":""res_kw_41217-South-Central_pu.csv"",""kW"":1.6835101027753536,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":23}]"
p10rlv2169,2,"[{""device_name"":""load_p10rlv2169_1"",""profile"":""res_kw_11396-South-Central_pu.csv"",""kW"":5.084386570377882,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":25},{""device_name"":""load_p10rlv2169_2"",""profile"":""res_kw_11396-South-Central_pu.csv"",""kW"":5.084386570377882,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":27}]"
p10rlv2790,2,"[{""device_name"":""load_p10rlv2790_1"",""profile"":""res_kw_33754-South-Central_pu.csv"",""kW"":5.688727839184011,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":29},{""device_name"":""load_p10rlv2790_2"",""profile"":""res_kw_33754-South-Central_pu.csv"",""kW"":5.688727839184011,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":31}]"
p10rlv3062,2,"[{""device_name"":""load_p10rlv3062_1"",""profile"":""res_kw_1176-South-Central_pu.csv"",""kW"":0.7144027285806513,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":33},{""device_name"":""load_p10rlv3062_2"",""profile"":""res_kw_1176-South-Central_pu.csv"",""kW"":0.7144027285806513,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":35}]"
p10rlv3393,2,"[{""device_name"":""load_p10rlv3393_1"",""profile"":""res_kw_20395-South-Central_pu.csv"",""kW"":4.681004822932435,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":37},{""device_name"":""load_p10rlv3393_2"",""profile"":""res_kw_20395-South-Central_pu.csv"",""kW"":4.681004822932435,""center_tap_split"":true,""formula"":""Loads.dss kW * LoadShapes.dss mult"",""source_file"":""p10rhs0_1247/p10rhs0_1247--p10rdt7719/Loads.dss"",""source_line"":39}]"
