source_node,target_node,verified,device_type,device_name,source_file,evidence,notes
p10rdt11862,p10rdt11862lv,true,transformer,tr(r:p10rdt11862-p10rdt11862lv),p10rhs0_1247/p10rhs0_1247--p10rdt7719/Transformers.dss,New Transformer.tr(r:p10rdt11862-p10rdt11862lv) phases=1 windings=3 %loadloss=1.248151 %Noloadloss=0.68 normhkva=11.0 wdg=1 conn=wye bus=p10rdt11862.1 Kv=7.2 kva=10.0 EmergHKVA=15.0 %r=0.41605 wdg=2 conn=wye bus=p10rdt11862lv.1.0 Kv=0.12 kva=10.0 EmergHKVA=15.0 %r=0.832101 wdg=3 conn=wye bus=p10rdt11862lv.0.2 Kv=0.12 kva=10.0 EmergHKVA=15.0 %r=0.832101 XHL=1.08 XLT=1.08 XHT=0.72,官方 Transformer 两侧关系已匹配
p10rdt12225,p10rdt12225lv,true,transformer,tr(r:p10rdt12225-p10rdt12225lv),p10rhs0_1247/p10rhs0_1247--p10rdt7719/Transformers.dss,New Transformer.tr(r:p10rdt12225-p10rdt12225lv) phases=1 windings=3 %loadloss=0.798816 %Noloadloss=0.37 normhkva=55.0 wdg=1 conn=wye bus=p10rdt12225.1 Kv=7.2 kva=50.0 EmergHKVA=75.0 %r=0.266272 wdg=2 conn=wye bus=p10rdt12225lv.1.0 Kv=0.12 kva=50.0 EmergHKVA=75.0 %r=0.532544 wdg=3 conn=wye bus=p10rdt12225lv.0.2 Kv=0.12 kva=50.0 EmergHKVA=75.0 %r=0.532544 XHL=2.4 XLT=2.4 XHT=1.6,官方 Transformer 两侧关系已匹配
p10rdt12911,p10rdt12911lv,true,transformer,tr(r:p10rdt12911-p10rdt12911lv),p10rhs0_1247/p10rhs0_1247--p10rdt7719/Transformers.dss,New Transformer.tr(r:p10rdt12911-p10rdt12911lv) phases=1 windings=3 %loadloss=0.798816 %Noloadloss=0.472 normhkva=27.5 wdg=1 conn=wye bus=p10rdt12911.1 Kv=7.2 kva=25.0 EmergHKVA=37.5 %r=0.266272 wdg=2 conn=wye bus=p10rdt12911lv.1.0 Kv=0.12 kva=25.0 EmergHKVA=37.5 %r=0.532544 wdg=3 conn=wye bus=p10rdt12911lv.0.2 Kv=0.12 kva=25.0 EmergHKVA=37.5 %r=0.532544 XHL=2.4 XLT=2.4 XHT=1.6,官方 Transformer 两侧关系已匹配
p10rdt13069,p10rdt13069lv,true,transformer,tr(r:p10rdt13069-p10rdt13069lv),p10rhs0_1247/p10rhs0_1247--p10rdt7719/Transformers.dss,New Transformer.tr(r:p10rdt13069-p10rdt13069lv) phases=1 windings=3 %loadloss=1.248151 %Noloadloss=0.68 normhkva=11.0 wdg=1 conn=wye bus=p10rdt13069.1 Kv=7.2 kva=10.0 EmergHKVA=15.0 %r=0.41605 wdg=2 conn=wye bus=p10rdt13069lv.1.0 Kv=0.12 kva=10.0 EmergHKVA=15.0 %r=0.832101 wdg=3 conn=wye bus=p10rdt13069lv.0.2 Kv=0.12 kva=10.0 EmergHKVA=15.0 %r=0.832101 XHL=1.08 XLT=1.08 XHT=0.72,官方 Transformer 两侧关系已匹配
p10rdt13742,p10rdt13742lv,true,transformer,tr(r:p10rdt13742-p10rdt13742lv),p10rhs0_1247/p10rhs0_1247--p10rdt7719/Transformers.dss,New Transformer.tr(r:p10rdt13742-p10rdt13742lv) phases=1 windings=3 %loadloss=0.798816 %Noloadloss=0.472 normhkva=27.5 wdg=1 conn=wye bus=p10rdt13742.2 Kv=7.2 kva=25.0 EmergHKVA=37.5 %r=0.266272 wdg=2 conn=wye bus=p10rdt13742lv.1.0 Kv=0.12 kva=25.0 EmergHKVA=37.5 %r=0.532544 wdg=3 conn=wye bus=p10rdt13742lv.0.2 Kv=0.12 kva=25.0 EmergHKVA=37.5 %r=0.532544 XHL=2.4 XLT=2.4 XHT=1.6,官方 Transformer 两侧关系已匹配
p10rdt13902,p10rdt13902lv,true,transformer,tr(r:p10rdt13902-p10rdt13902lv),p10rhs0_1247/p10rhs0_1247--p10rdt7719/Transformers.dss,New Transformer.tr(r:p10rdt13902-p10rdt13902lv) phases=1 windings=3 %loadloss=1.248151 %Noloadloss=0.68 normhkva=11.0 wdg=1 conn=wye bus=p10rdt13902.3 Kv=7.2 kva=10.0 EmergHKVA=15.0 %r=0.41605 wdg=2 conn=wye bus=p10rdt13902lv.1.0 Kv=0.12 kva=10.0 EmergHKVA=15.0 %r=0.832101 wdg=3 conn=wye bus=p10rdt13902lv.0.2 Kv=0.12 kva=10.0 EmergHKVA=15.0 %r=0.832101 XHL=1.08 XLT=1.08 XHT=0.72,官方 Transformer 两侧关系已匹配
p10rdt14373,p10rdt14373lv,true,transformer,tr(r:p10rdt14373-p10rdt14373lv),p10rhs0_1247/p10rhs0_1247--p10rdt7719/Transformers.dss,New Transformer.tr(r:p10rdt14373-p10rdt14373lv) phases=1 windings=3 %loadloss=0.798816 %Noloadloss=0.472 normhkva=27.5 wdg=1 conn=wye bus=p10rdt14373.3 Kv=7.2 kva=25.0 EmergHKVA=37.5 %r=0.266272 wdg=2 conn=wye bus=p10rdt14373lv.1.0 Kv=0.12 kva=25.0 EmergHKVA=37.5 %r=0.532544 wdg=3 conn=wye bus=p10rdt14373lv.0.2 Kv=0.12 kva=25.0 EmergHKVA=37.5 %r=0.532544 XHL=2.4 XLT=2.4 XHT=1.6,官方 Transformer 两侧关系已匹配
p10rdt1487,p10rdt1487lv,true,transformer,tr(r:p10rdt1487-p10rdt1487lv),p10rhs0_1247/p10rhs0_1247--p10rdt7719/Transformers.dss,New Transformer.tr(r:p10rdt1487-p10rdt1487lv) phases=1 windings=3 %loadloss=0.798816 %Noloadloss=0.472 normhkva=27.5 wdg=1 conn=wye bus=p10rdt1487.1 Kv=7.2 kva=25.0 EmergHKVA=37.5 %r=0.266272 wdg=2 conn=wye bus=p10rdt1487lv.1.0 Kv=0.12 kva=25.0 EmergHKVA=37.5 %r=0.532544 wdg=3 conn=wye bus=p10rdt1487lv.0.2 Kv=0.12 kva=25.0 EmergHKVA=37.5 %r=0.532544 XHL=2.4 XLT=2.4 XHT=1.6,官方 Transformer 两侧关系已匹配
p10rdt14969,p10rdt14969lv,true,transformer,tr(r:p10rdt14969-p10rdt14969lv),p10rhs0_1247/p10rhs0_1247--p10rdt7719/Transformers.dss,New Transformer.tr(r:p10rdt14969-p10rdt14969lv) phases=1 windings=3 %loadloss=1.248151 %Noloadloss=0.68 normhkva=11.0 wdg=1 conn=wye bus=p10rdt14969.2 Kv=7.2 kva=10.0 EmergHKVA=15.0 %r=0.41605 wdg=2 conn=wye bus=p10rdt14969lv.1.0 Kv=0.12 kva=10.0 EmergHKVA=15.0 %r=0.832101 wdg=3 conn=wye bus=p10rdt14969lv.0.2 Kv=0.12 kva=10.0 EmergHKVA=15.0 %r=0.832101 XHL=1.08 XLT=1.08 XHT=0.72,官方 Transformer 两侧关系已匹配
p10rdt15260,p10rdt15260lv,true,transformer,tr(r:p10rdt15260-p10rdt15260lv),p10rhs0_1247/p10rhs0_1247--p10rdt7719/Transformers.dss,New Transformer.tr(r:p10rdt15260-p10rdt15260lv) phases=1 windings=3 %loadloss=0.798816 %Noloadloss=0.472 normhkva=27.5 wdg=1 conn=wye bus=p10rdt15260.1 Kv=7.2 kva=25.0 EmergHKVA=37.5 %r=0.266272 wdg=2 conn=wye bus=p10rdt15260lv.1.0 Kv=0.12 kva=25.0 EmergHKVA=37.5 %r=0.532544 wdg=3 conn=wye bus=p10rdt15260lv.0.2 Kv=0.12 kva=25.0 EmergHKVA=37.5 %r=0.532544 XHL=2.4 XLT=2.4 XHT=1.6,官方 Transformer 两侧关系已匹配
